,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
60,G,Ron Stone,NYG,29,6.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,2000
61,C,Matt Birk,MIN,24,2.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,FW: 1st Tm All-Conf.,2000
62,QB,Daunte Culpepper,MIN,23,1.0,16,16,297,474,3937,33,16,89,470,7,0,0,0,0.0,0.0,0,FW: 1st Tm All-Conf.,2000
63,LB,Keith Mitchell,NOR,26,3.0,16,14,0,0,0,0,0,0,0,0,0,0,0,59.0,6.5,1,FW: 1st Tm All-Conf.,2000
64,WR,Desmond Howard,DET,30,8.0,15,0,0,0,0,0,0,0,0,0,2,14,0,,0.0,0,FW: 1st Tm All-Conf.,2000
65,LB,Larry Izzo,MIA,26,4.0,16,0,0,0,0,0,0,1,39,0,0,0,0,17.0,0.0,0,FW: 1st Tm All-Conf.,2000
66,EDGE,Joe Johnson,NOR,28,6.0,16,15,0,0,0,0,0,0,0,0,0,0,0,38.0,12.0,0,FW: 1st Tm All-Conf.,2000
67,CB,Troy Vincent,PHI,30,8.0,16,16,0,0,0,0,0,0,0,0,0,0,0,64.0,1.0,5,FW: 1st Tm All-Conf.,2000
68,S,Brock Marion,MIA,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,72.0,0.0,5,FW: 1st Tm All-Conf.,2000
69,QB,Brett Favre,GNB,32,10.0,16,16,314,510,3921,32,15,38,56,1,0,0,0,,0.0,0,AP: 2nd Tm,2001
70,TE,Ernie Conwell,STL,29,5.0,16,14,0,0,0,0,0,7,28,1,38,431,4,1.0,0.0,0,AP: 2nd Tm,2001
71,T,James Williams,CHI,33,10.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2001
72,T,Lincoln Kennedy,OAK,30,8.0,15,15,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2001
73,G,Adam Timmerman,STL,30,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,AP: 2nd Tm,2001
74,C,Jeff Hartings,PIT,29,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,AP: 2nd Tm,2001
